DIG_OUT_SINE_input X,DIG_OUT_SINE_input Y
0,0
5E-08,16
1E-07,16
1.5E-07,16
2E-07,16
2.5E-07,16
3E-07,16
3.5E-07,16
4E-07,16
4.5E-07,16
5E-07,16
5.5E-07,16
6E-07,16
6.5E-07,16
7E-07,16
7.5E-07,16
8E-07,16
8.5E-07,16
9E-07,16
9.5E-07,16
1E-06,16
1.05E-06,16
1.1E-06,17.8927601433081
1.15E-06,18
1.2E-06,18
1.25E-06,18
1.3E-06,18
1.35E-06,18
1.4E-06,18
1.45E-06,18
1.5E-06,18
1.55E-06,18
1.6E-06,18
1.65E-06,18
1.7E-06,18
1.75E-06,18
1.8E-06,18
1.85E-06,18
1.9E-06,18
1.95E-06,18
2E-06,18
2.05E-06,18
2.1E-06,18
2.15E-06,19.7293013429799
2.2E-06,20
2.25E-06,20
2.3E-06,20
2.35E-06,20
2.4E-06,20
2.45E-06,20
2.5E-06,20
2.55E-06,20
2.6E-06,20
2.65E-06,20
2.7E-06,20
2.75E-06,20
2.8E-06,20
2.85E-06,20
2.9E-06,20
2.95E-06,20
3E-06,20
3.05E-06,20
3.1E-06,20
3.15E-06,20
3.2E-06,20
3.25E-06,21.9086179252637
3.3E-06,22
3.35E-06,22
3.4E-06,22
3.45E-06,22
3.5E-06,22
3.55E-06,22
3.6E-06,22
3.65E-06,22
3.7E-06,22
3.75E-06,22
3.8E-06,22
3.85E-06,22
3.9E-06,22
3.95E-06,22
4E-06,22
4.05E-06,22
4.1E-06,22
4.15E-06,22
4.2E-06,22
4.25E-06,22
4.3E-06,22
4.35E-06,22
4.4E-06,23
4.45E-06,24
4.5E-06,24
4.55E-06,24
4.6E-06,24
4.65E-06,24
4.7E-06,24
4.75E-06,24
4.8E-06,24
4.85E-06,24
4.90000000000001E-06,24
4.95E-06,24
5.00000000000001E-06,24
5.05000000000001E-06,24
5.10000000000001E-06,24
5.15000000000001E-06,24
5.20000000000001E-06,24
5.25000000000001E-06,24
5.30000000000001E-06,24
5.35000000000001E-06,24
5.40000000000001E-06,24
5.45000000000001E-06,24
5.50000000000001E-06,24
5.55000000000001E-06,24
5.60000000000001E-06,24
5.65000000000001E-06,25
5.70000000000001E-06,26
5.75000000000001E-06,26
5.80000000000001E-06,26
5.85000000000001E-06,26
5.90000000000001E-06,26
5.95000000000001E-06,26
6.00000000000001E-06,26
6.05000000000001E-06,26
6.10000000000001E-06,26
6.15000000000001E-06,26
6.20000000000001E-06,26
6.25000000000002E-06,26
6.30000000000002E-06,26
6.35000000000002E-06,26
6.40000000000002E-06,26
6.45000000000002E-06,26
6.50000000000002E-06,26
6.55000000000002E-06,26
6.60000000000002E-06,26
6.65000000000002E-06,26
6.70000000000002E-06,26
6.75000000000002E-06,26
6.80000000000002E-06,26
6.85000000000002E-06,26
6.90000000000002E-06,26
6.95000000000002E-06,26
7.00000000000002E-06,26
7.05000000000002E-06,26
7.10000000000002E-06,27
7.15000000000002E-06,27.7752928268657
7.20000000000002E-06,28
7.25000000000002E-06,28
7.30000000000002E-06,28
7.35000000000002E-06,28
7.40000000000002E-06,28
7.45000000000002E-06,28
7.50000000000002E-06,28
7.55000000000002E-06,28
7.60000000000003E-06,28
7.65000000000003E-06,28
7.70000000000003E-06,28
7.75000000000002E-06,28
7.80000000000002E-06,28
7.85000000000002E-06,28
7.90000000000002E-06,28
7.95000000000002E-06,28
8.00000000000002E-06,28
8.05000000000002E-06,28
8.10000000000002E-06,28
8.15000000000002E-06,28
8.20000000000002E-06,28
8.25000000000002E-06,28
8.30000000000002E-06,28
8.35000000000002E-06,28
8.40000000000002E-06,28
8.45000000000002E-06,28
8.50000000000002E-06,28
8.55000000000002E-06,28
8.60000000000002E-06,28
8.65000000000001E-06,28
8.70000000000002E-06,28
8.75000000000001E-06,28
8.80000000000002E-06,28
8.85000000000001E-06,28
8.90000000000001E-06,29
8.95000000000001E-06,29
9.00000000000001E-06,29
9.05000000000001E-06,29
9.10000000000001E-06,29
9.15000000000001E-06,29
9.20000000000001E-06,29
9.25000000000001E-06,29
9.30000000000001E-06,29
9.35000000000001E-06,29
9.40000000000001E-06,29
9.45000000000001E-06,29
9.50000000000001E-06,29
9.55000000000001E-06,29
9.60000000000001E-06,29
9.65000000000001E-06,29
9.7E-06,29
9.75000000000001E-06,29
9.8E-06,29
9.85000000000001E-06,29
9.9E-06,29
9.95E-06,29
1E-05,29
1.005E-05,29
1.01E-05,29
1.015E-05,29
1.02E-05,29
1.025E-05,29
1.03E-05,29
1.035E-05,29
1.04E-05,29
1.045E-05,29
1.05E-05,29
1.055E-05,29
1.06E-05,29
1.065E-05,29
1.07E-05,29
1.075E-05,29
1.08E-05,29
1.085E-05,29
1.09E-05,29
1.095E-05,29
1.1E-05,29
1.105E-05,29
1.11E-05,29
1.115E-05,29
1.12E-05,29
1.125E-05,29
1.13E-05,29
1.135E-05,29
1.14E-05,29
1.145E-05,29
1.15E-05,29
1.155E-05,29
1.16E-05,29
1.165E-05,29
1.17E-05,29
1.175E-05,29
1.18E-05,29
1.185E-05,29
1.19E-05,29
