DIG_OUT_SINE_input X,DIG_OUT_SINE_input Y
0,0
5.00E-08,8
1.00E-07,8
1.50E-07,8
2.00E-07,8
2.50E-07,8
3.00E-07,8
3.50E-07,8
4.00E-07,8
4.50E-07,8
5.00E-07,8
5.50E-07,8
6.00E-07,8
6.50E-07,8
7.00E-07,8
7.50E-07,8
8.00E-07,8
8.50E-07,8
9.00E-07,8
9.50E-07,8
1.00E-06,8
1.05E-06,8
1.10E-06,8
1.15E-06,8
1.20E-06,9
1.25E-06,9
1.30E-06,9
1.35E-06,9
1.40E-06,9
1.45E-06,9
1.50E-06,9
1.55E-06,9
1.60E-06,9
1.65E-06,9
1.70E-06,9
1.75E-06,9
1.80E-06,9
1.85E-06,9
1.90E-06,9
1.95E-06,9
2.00E-06,9
2.05E-06,9
2.10E-06,9
2.15E-06,9
2.20E-06,9
2.25E-06,10
2.30E-06,10
2.35E-06,10
2.40E-06,10
2.45E-06,10
2.50E-06,10
2.55E-06,10
2.60E-06,10
2.65E-06,10
2.70E-06,10
2.75E-06,10
2.80E-06,10
2.85E-06,10
2.90E-06,10
2.95E-06,10
3.00E-06,10
3.05E-06,10
3.10E-06,10
3.15E-06,10
3.20E-06,10
3.25E-06,10
3.30E-06,10
3.35E-06,11
3.40E-06,11
3.45E-06,11
3.50E-06,11
3.55E-06,11
3.60E-06,11
3.65E-06,11
3.70E-06,11
3.75E-06,11
3.80E-06,11
3.85E-06,11
3.90E-06,11
3.95E-06,11
4.00E-06,11
4.05E-06,11
4.10E-06,11
4.15E-06,11
4.20E-06,11
4.25E-06,11
4.30E-06,11
4.35E-06,11
4.40E-06,11
4.45E-06,11
4.50E-06,12
4.55E-06,12
4.60E-06,12
4.65E-06,12
4.70E-06,12
4.75E-06,12
4.80E-06,12
4.85E-06,12
4.90E-06,12
4.95E-06,12
5.00E-06,12
5.05E-06,12
5.10E-06,12
5.15E-06,12
5.20E-06,12
5.25E-06,12
5.30E-06,12
5.35E-06,12
5.40E-06,12
5.45E-06,12
5.50E-06,12
5.55E-06,12
5.60E-06,12
5.65E-06,12
5.70E-06,12
5.75E-06,13
5.80E-06,13
5.85E-06,13
5.90E-06,13
5.95E-06,13
6.00E-06,13
6.05E-06,13
6.10E-06,13
6.15E-06,13
6.20E-06,13
6.25E-06,13
6.30E-06,13
